LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
BC-LAI-1-LW,449,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.999206,-118.365077
BC,273,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99921036,-118.3648453
BC,630,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99922562,-118.3647919
Rideout-Hamburg,2,Plugged,OG,Oil & Gas,O1700,"Olson & Gregg, Inc.",33.99924088,-118.0523529
LAI-VIC-LW,4,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99925232,-118.3728104
Sentous,3,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99925995,-118.3756714
LAI 1,316,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99926758,-118.3720093
BC,322-A,Plugged,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99930954,-118.3650742
LAI 1,146,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99932098,-118.3716965
LAI 1,415,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99933624,-118.3691406
Sentous,2,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99934387,-118.3763351
C.W.O.D.,23,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99935913,-118.1651688
BC,43,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99940109,-118.3631668
BC,304,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99942017,-118.3613205
C.W.O.D.,20,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.9994278,-118.165123
Baldwin-Cienega,12,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.9994278,-118.3669663
Sentous,16-Apr,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99943161,-118.3769607
Baldwin-Cienega,153,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99946976,-118.3611755
C.W.O.D.,12,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99948883,-118.1650925
C.W.O.D.,8-C,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99954987,-118.1650696
Baldwin-Cienega,253,Plugged,WF,Waterflood,C5640,Chevron U.S.A. Inc.,33.99957657,-118.3610611
Baldwin-Cienega,543,Plugged,WF,Waterflood,C5640,Chevron U.S.A. Inc.,33.99958038,-118.3634338
BC,305,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99962234,-118.3611832
C.W.O.D.,19,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99962616,-118.1650314
Billy Rowland,1,Plugged,OG,Oil & Gas,654,"Barry Oil Co., Inc.",33.99962997,-117.9004822
BC,631,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99965668,-118.3633804
LAI 1,141,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99966049,-118.369606
Baldwin-Cienega,443,Plugged,WF,Waterflood,C5640,Chevron U.S.A. Inc.,33.99967194,-118.3633041
LAI 1,30-A,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99970245,-118.3682556
Vickers 1,42,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,33.9997139,-118.3756409
BC,312,Plugged,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99973297,-118.3664627
Baldwin-Cienega,343,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99974442,-118.3631821
